Gateway,ROOM,BACnet reading number,Title
1,HAB 101,1_00,Planta 1
1,HAB 103,1_01,Planta 1
1,HAB 105,1_02,Planta 1
1,HAB 106,1_03,Planta 1
1,HAB 107,1_04,Planta 1
1,HAB 201,1_05,Planta 2
1,HAB 203,1_06,Planta 2
1,HAB 205,1_07,Planta 2
1,HAB 206,1_08,Planta 2
1,HAB 207,1_09,Planta 2
1,HAB 301,1_10,Planta 3
1,HAB 303,1_11,Planta 3
1,HAB 305,1_12,Planta 3
1,HAB 306,1_13,Planta 3
1,HAB 307,1_14,Planta 3
1,HAB 102,1_15,Planta 1
1,HAB 104A,2_00,Planta 1
1,HAB 104B,2_01,Planta 1
1,HAB 202,2_02,Planta 2
1,HAB 204A,2_03,Planta 2
1,HAB 204B,2_04,Planta 2
1,HAB 302,2_05,Planta 3
1,HAB 304A,2_06,Planta 3
1,HAB 304B,2_07,Planta 3
1,HAB 402,2_08,Planta 4
1,HAB 404A,2_09,Planta 4
1,HAB 404B,2_10,Planta 4
1,HAB 502,2_11,Planta 5
1,HAB 504A,2_12,Planta 5
1,HAB 504B,2_13,Planta 5
1,HAB 601,2_14,Planta 6
1,HAB 602,2_15,Planta 6
1,HAB 603,3_00,Planta 6
1,HAB 604,3_01,Planta 6
1,RECEPCION,3_02,Planta B
1,DIRECCION,3_03,Planta B
1,GIMNASIO,3_04,Planta B
1,SALA ESTUDIOS 1,3_05,Planta B
1,SALA ESTUDIOS 2,3_06,Planta B
1,COCINA 1,3_07,Planta B
1,COCINA 2,3_08,Planta B
1,COCINA 3,3_09,Planta B
1,SALA ESTAR 2,3_10,Planta B
1,SALA ESTAR 1,3_11,Planta B
1,BARRA,3_12,Planta B
1,RACK,3_13,Planta B
1,CUADRO ELECTRICO,3_14,Planta B
1,RECUP.GYM,3_15,Planta B
1,RECUP.SALA ESTAR,4_00,Planta B
1,RECUP.RECEPCION,4_01,Planta B
2,HAB 208A,1_00,Planta 2
2,HAB 208B,1_01,Planta 2
2,HAB 209,1_02,Planta 2
2,HAB 211,1_03,Planta 2
2,HAB 212,1_04,Planta 2
2,HAB 213,1_05,Planta 2
2,HAB 215,1_06,Planta 2
2,HAB 216,1_07,Planta 2
2,HAB 217,1_08,Planta 2
2,HAB 218,1_09,Planta 2
2,HAB 219,1_10,Planta 2
2,HAB 308A,1_11,Planta 3
2,HAB 308B,1_12,Planta 3
2,HAB 309,1_13,Planta 3
2,HAB 311,1_14,Planta 3
2,HAB 312,1_15,Planta 3
2,HAB 313,2_00,Planta 3
2,HAB 315,2_01,Planta 3
2,HAB 316,2_02,Planta 3
2,HAB 317,2_03,Planta 3
2,HAB 318,2_04,Planta 3
2,HAB 319,2_05,Planta 3
2,HAB 108A,2_06,Planta 1
2,HAB 108B,2_07,Planta 1
2,HAB 109,2_08,Planta 1
2,HAB 111,2_09,Planta 1
2,HAB 112,2_10,Planta 1
2,HAB 113,2_11,Planta 1
2,HAB 115,2_12,Planta 1
2,HAB 116,2_13,Planta 1
2,HAB 117,2_14,Planta 1
2,HAB 118,2_15,Planta 1
2,HAB 119,3_00,Planta 1
2,HAB 310,3_01,Planta 3
2,HAB 320B,3_02,Planta 3
2,HAB 320A,3_03,Planta 3
2,HAB 322,3_04,Planta 3
2,HAB 210,3_05,Planta 2
2,HAB 220B,3_06,Planta 2
2,HAB 220A,3_07,Planta 2
2,HAB 222,3_08,Planta 2
2,HAB 110,3_09,Planta 1
2,HAB 120B,3_10,Planta 1
2,HAB 120A,3_11,Planta 1
2,HAB 122,3_12,Planta 1
2,HAB 401,3_13,Planta 4
2,HAB 403,3_14,Planta 4
2,HAB 405,3_15,Planta 4
2,HAB 406,4_00,Planta 4
2,HAB 407,4_01,Planta 4
2,HAB 501,4_02,Planta 5
2,HAB 503,4_03,Planta 5
2,HAB 505,4_04,Planta 5
2,HAB 506,4_05,Planta 5
2,HAB 507,4_06,Planta 5
3,HAB 114,1_00,Planta 1
3,HAB 121A,1_01,Planta 1
3,HAB 121B,1_02,Planta 1
3,HAB 123,1_03,Planta 1
3,HAB 214,1_04,Planta 2
3,HAB 221A,1_05,Planta 2
3,HAB 221B,1_06,Planta 2
3,HAB 223,1_07,Planta 2
3,HAB 314,1_08,Planta 3
3,HAB 321A,1_09,Planta 3
3,HAB 321B,1_10,Planta 3
3,HAB 323,1_11,Planta 3
3,HAB 408A,1_12,Planta 4
3,HAB 408B,1_13,Planta 4
3,HAB 409,1_14,Planta 4
3,HAB 411,1_15,Planta 4
3,HAB 412,2_00,Planta 4
3,HAB 413,2_01,Planta 4
3,HAB 415,2_02,Planta 4
3,HAB 416,2_03,Planta 4
3,HAB 417,2_04,Planta 4
3,HAB 418,2_05,Planta 4
3,HAB 419,2_06,Planta 4
3,HAB 414,2_07,Planta 4
3,HAB 421A,2_08,Planta 4
3,HAB 421B,2_09,Planta 4
3,HAB 423,2_10,Planta 4
3,HAB 514,2_11,Planta 5
3,HAB 521A,2_12,Planta 5
3,HAB 521B,2_13,Planta 5
3,HAB 523,2_14,Planta 5
3,HAB 610,2_15,Planta 6
3,HAB 607A,3_00,Planta 6
3,HAB 607B,3_01,Planta 6
3,HAB 609,3_02,Planta 6
3,HAB 508A,3_03,Planta 5
3,HAB 508B,3_04,Planta 5
3,HAB 509,3_05,Planta 5
3,HAB 511,3_06,Planta 5
3,HAB 512,3_07,Planta 5
3,HAB 513,3_08,Planta 5
3,HAB 515,3_09,Planta 5
3,HAB 516,3_10,Planta 5
3,HAB 517,3_11,Planta 5
3,HAB 518,3_12,Planta 5
3,HAB 519,3_13,Planta 5
3,HAB 410,3_14,Planta 4
3,HAB 420B,3_15,Planta 4
3,HAB 420A,4_00,Planta 4
3,HAB 422,4_01,Planta 4
3,HAB 510,4_02,Planta 5
3,HAB 520B,4_03,Planta 5
3,HAB 520A,4_04,Planta 5
3,HAB 522,4_05,Planta 5
3,HAB 605,4_06,Planta 6
3,HAB 606B,4_07,Planta 6
3,HAB 606A,4_08,Planta 6
3,HAB 608,4_09,Planta 6
